2025-04-02 12:41:30 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 53a1da8d-9c38-4057-9526-6429d15835b3
2025-04-02 12:41:30 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Explique detalhadamente a implementação de um sistema distribuído usando o protocolo Raft, incluindo o código em Go para eleição de líder, replicação de logs e tratamento de falhas. Forneça exemplos práticos de implementação.
2025-04-02 12:41:30 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:41:30 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: deepseek
2025-04-02 12:41:30 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.1, 'deepseek': 0.6, 'mistral': 0.1, 'gemini': 0.2}
2025-04-02 12:41:30 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'is_complex': True, 'is_technical': True, 'is_analytical': False, 'needs_reasoning': True}
2025-04-02 12:44:00 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 5ab970e3-c912-4e14-ab4c-ceaba198b6e3
2025-04-02 12:44:00 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Como funciona o processo de machine learning para reconhecimento facial? Explique os passos básicos e as principais técnicas utilizadas.
2025-04-02 12:44:00 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:44:00 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: gemini
2025-04-02 12:44:00 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.1, 'deepseek': 0.2, 'mistral': 0.2, 'gemini': 0.5}
2025-04-02 12:44:00 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'is_complex': False, 'is_technical': False, 'is_analytical': False, 'needs_reasoning': True}
2025-04-02 12:45:07 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: fb8f6976-de57-48b5-abb7-469e024e4f6f
2025-04-02 12:45:07 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Compare e analise os pros e contras dos diferentes frameworks de frontend (React, Vue, Angular). Considere aspectos como curva de aprendizado e performance.
2025-04-02 12:45:07 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:45:07 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: gemini
2025-04-02 12:45:07 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.1, 'deepseek': 0.2, 'mistral': 0.2, 'gemini': 0.5}
2025-04-02 12:45:07 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'is_complex': False, 'is_technical': False, 'is_analytical': True, 'needs_reasoning': True}
2025-04-02 12:46:04 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 6c5c9bea-39a9-475f-9e3a-a1da1cb66e28
2025-04-02 12:46:04 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Qual é a capital da França? Liste também 3 pontos turísticos famosos.
2025-04-02 12:46:04 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:46:04 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: deepseek
2025-04-02 12:46:04 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.1, 'deepseek': 0.6, 'mistral': 0.1, 'gemini': 0.2}
2025-04-02 12:46:04 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'is_complex': False, 'is_technical': True, 'is_analytical': False, 'needs_reasoning': False}
