2025-04-02 12:03:39 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 6af18228-bf17-45c0-98b2-00d232d9437f
2025-04-02 12:03:39 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Brasil?
2025-04-02 12:03:39 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: string
2025-04-02 12:04:20 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 935a4024-2f0b-4cf7-8d00-56b6af0afe13
2025-04-02 12:04:20 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Brasil?
2025-04-02 12:04:20 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:04:20 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: gpt
2025-04-02 12:04:20 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.25, 'deepseek': 0.25, 'mistral': 0.25, 'gemini': 0.25}
2025-04-02 12:04:20 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'technical': False, 'complex': False, 'creative': False, 'practical': False}
2025-04-02 12:17:41 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: 7d8e235b-e1e3-4788-b508-32dc48e29823
2025-04-02 12:17:41 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Explique como a fotossíntese e a energia solar podem ser combinadas em tecnologias biomiméticas para criar soluções sustentáveis de energia. Inclua exemplos de pesquisas recentes e possíveis aplicações futuras.
2025-04-02 12:17:41 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:17:41 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: gpt
2025-04-02 12:17:41 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.25, 'deepseek': 0.25, 'mistral': 0.25, 'gemini': 0.25}
2025-04-02 12:17:41 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'technical': False, 'complex': False, 'creative': False, 'practical': False}
2025-04-02 12:19:42 | INFO     | api.routers.chat:chat_endpoint:41 - Requisição recebida - ID: c191d8b8-276e-44a8-aa51-9d39bdbc1984
2025-04-02 12:19:42 | INFO     | api.routers.chat:chat_endpoint:42 - Prompt: Analise os prós e contras da implementação de um sistema de renda básica universal, considerando impactos econômicos, sociais e políticos. Forneça exemplos de países que já experimentaram programas similares.
2025-04-02 12:19:42 | INFO     | api.routers.chat:chat_endpoint:43 - Modelo especificado: None
2025-04-02 12:19:42 | INFO     | api.llm_router.router:route_prompt:28 - Modelo escolhido: gpt
2025-04-02 12:19:42 | INFO     | api.llm_router.router:route_prompt:29 - Pontuações: {'gpt': 0.5454545454545455, 'deepseek': 0.1818181818181818, 'mistral': 0.18181818181818182, 'gemini': 0.09090909090909091}
2025-04-02 12:19:42 | INFO     | api.llm_router.router:route_prompt:30 - Indicadores: {'technical': True, 'complex': False, 'creative': False, 'practical': False}
