2025-04-02 13:58:27 | INFO     | api.routers.chat:chat_endpoint:49 - Requisição recebida - ID: bdb5218c-9885-4ca1-af5f-291f4297c9c5
2025-04-02 13:58:27 | INFO     | api.routers.chat:chat_endpoint:50 - Prompt: Desenvolva uma implementação detalhada de um sistema de blockchain usando Rust, incluindo: consenso distribuído, proof of work, smart contracts e segurança criptográfica. Forneça exemplo de código.
2025-04-02 13:58:27 | INFO     | api.routers.chat:chat_endpoint:51 - Modelo especificado: None
2025-04-02 13:58:27 | INFO     | api.llm_router.router:route_prompt:19 - Modelo escolhido: deepseek
2025-04-02 13:58:27 | INFO     | api.llm_router.router:route_prompt:20 - Pontuações: {'gpt': 0.1, 'deepseek': 0.7, 'mistral': 0.1, 'gemini': 0.1}
2025-04-02 13:58:27 | INFO     | api.llm_router.router:route_prompt:21 - Indicadores: {'complex': True, 'technical': False, 'analytical': False, 'simple': False}
2025-04-02 14:04:02 | INFO     | api.routers.chat:chat_endpoint:49 - Requisição recebida - ID: a2a38980-2c3e-48a1-818d-9a2e9fd8f3ab
2025-04-02 14:04:02 | INFO     | api.routers.chat:chat_endpoint:50 - Prompt: omde e  o  canada? 
2025-04-02 14:04:02 | INFO     | api.routers.chat:chat_endpoint:51 - Modelo especificado: string
2025-04-02 14:04:21 | INFO     | api.routers.chat:chat_endpoint:49 - Requisição recebida - ID: 90a7de37-762e-4727-811a-e65266f9b85c
2025-04-02 14:04:21 | INFO     | api.routers.chat:chat_endpoint:50 - Prompt: omde e  o  canada? 
2025-04-02 14:04:21 | INFO     | api.routers.chat:chat_endpoint:51 - Modelo especificado: None
2025-04-02 14:04:21 | INFO     | api.llm_router.router:route_prompt:19 - Modelo escolhido: gpt
2025-04-02 14:04:21 | INFO     | api.llm_router.router:route_prompt:20 - Pontuações: {'gpt': 0.6, 'deepseek': 0.1, 'mistral': 0.1, 'gemini': 0.2}
2025-04-02 14:04:21 | INFO     | api.llm_router.router:route_prompt:21 - Indicadores: {'complex': False, 'technical': False, 'analytical': False, 'simple': True}
2025-04-02 14:06:07 | ERROR    | api.routers.whatsapp:whatsapp_status:135 - Erro ao verificar status: [Errno 11001] getaddrinfo failed
2025-04-02 14:06:14 | ERROR    | api.routers.whatsapp:whatsapp_webhook:111 - Erro no webhook: Expecting value: line 1 column 1 (char 0)
